Module                  Size  Used by
snd_usb_audio         512000  4
snd_usbmidi_lib        53248  1 snd_usb_audio
snd_ump                45056  1 snd_usb_audio
usbhid                 77824  0
rfcomm                102400  4
xt_conntrack           12288  4
nft_chain_nat          12288  3
xt_MASQUERADE          16384  4
nf_nat                 61440  2 nft_chain_nat,xt_MASQUERADE
nf_conntrack          196608  3 xt_conntrack,nf_nat,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
xfrm_user              61440  1
xfrm_algo              16384  1 xfrm_user
xt_addrtype            12288  2
nft_compat             20480  10
nf_tables             372736  222 nft_compat,nft_chain_nat
libcrc32c              12288  3 nf_conntrack,nf_nat,nf_tables
nfnetlink              20480  3 nft_compat,nf_tables
ccm                    20480  6
snd_hda_codec_hdmi     94208  1
snd_ctl_led            24576  0
ledtrig_audio          12288  1 snd_ctl_led
snd_hda_codec_realtek   200704  1
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
cmac                   12288  3
algif_hash             12288  1
algif_skcipher         16384  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   32768  2
snd_sof_pci_intel_cnl    12288  0
snd_sof_intel_hda_common   217088  1 snd_sof_pci_intel_cnl
soundwire_intel        73728  1 snd_sof_intel_hda_common
snd_sof_intel_hda_mlink    45056  2 soundwire_intel,snd_sof_intel_hda_common
intel_rapl_msr         20480  0
soundwire_cadence      45056  1 soundwire_intel
intel_rapl_common      40960  1 intel_rapl_msr
snd_sof_intel_hda      24576  1 snd_sof_intel_hda_common
intel_uncore_frequency    16384  0
snd_sof_pci            24576  2 snd_sof_intel_hda_common,snd_sof_pci_intel_cnl
intel_uncore_frequency_common    16384  1 intel_uncore_frequency
snd_sof_xtensa_dsp     12288  1 snd_sof_intel_hda_common
snd_sof               380928  3 snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda
snd_sof_utils          16384  1 snd_sof
snd_soc_hdac_hda       24576  1 snd_sof_intel_hda_common
snd_hda_ext_core       32768  4 snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
snd_soc_acpi_intel_match    98304  2 snd_sof_intel_hda_common,snd_sof_pci_intel_cnl
intel_tcc_cooling      12288  0
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_common
x86_pkg_temp_thermal    20480  0
soundwire_generic_allocation    12288  1 soundwire_intel
intel_powerclamp       24576  0
soundwire_bus         110592  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
coretemp               24576  0
snd_soc_core          442368  4 soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hda
kvm_intel             487424  0
snd_compress           28672  1 snd_soc_core
ac97_bus               12288  1 snd_soc_core
snd_pcm_dmaengine      16384  1 snd_soc_core
snd_hda_intel          61440  3
kvm                  1413120  1 kvm_intel
snd_intel_dspcfg       36864  3 snd_hda_intel,snd_sof,snd_sof_intel_hda_common
snd_intel_sdw_acpi     16384  2 snd_sof_intel_hda_common,snd_intel_dspcfg
snd_hda_codec         204800  6 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek,snd_soc_hdac_hda,snd_sof_intel_hda
